Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Michael Frolik\frolimi01,65,34,24,26,132,868,22,57
Kurtis Gabriel\gabriku01,22,4,0,59,7,162,8,78
Sam Gagner\gagnesa01,32,13,-6,14,68,467,7,21
Alex Galchenyuk\galchal01,72,41,-19,34,159,1133,34,62
Brendan Gallagher\gallabr01,82,52,10,49,302,1345,31,126
Joseph Gambardella\gambajo01,15,3,2,2,7,122,5,14
Dylan Gambrell\gambrdy01,8,0,1,2,6,69,1,13
Jake Gardiner\gardija01,62,30,19,26,78,1315,64,61
Conor Garland\garlaco01,47,18,1,12,118,601,17,33
Jason Garrison\garrija01,17,1,1,8,16,216,23,13
Adam Gaudette\gaudead01,56,12,-8,18,55,613,15,48
Frederick Gaudreau\gaudrfr01,55,4,1,2,43,496,18,25
Johnny Gaudreau\gaudrjo01,82,99,18,24,245,1646,12,12
Brendan Gaunce\gauncbr01,3,3,3,0,2,23,0,4
Cameron Gaunce\gauncca01,2,0,3,7,2,31,1,4
Frederik Gauthier\gauthfr01,70,14,3,12,46,586,28,98
Timothy Gettinger\gettiti01,4,0,0,0,2,30,3,15
Ryan Getzlaf\getzlry01,67,48,-19,58,133,1304,74,150
Brian Gibbons\gibbobr02,64,19,-5,20,50,699,29,40
Brandon Gignac\gignabr01,1,0,-2,0,1,9,1,0
Dennis Gilbert\gilbede01,1,0,0,2,0,13,1,6
John Gilmour\gilmojo01,5,0,-3,4,9,80,13,3
Stephen Gionta\giontst01,5,0,-4,0,4,44,2,14
Mark Giordano\giordma01,78,74,39,69,221,1891,144,58
Samuel Girard\girarsa01,82,27,8,6,116,1631,90,65
Dan Girardi\girarda01,62,16,6,12,75,1104,108,151
Zemgus Girgensons\girgeze01,72,18,-11,17,78,980,29,144
Claude Giroux\giroucl01,82,85,9,24,229,1759,19,28
Ben Gleason\gleasbe01,4,1,-1,0,2,60,1,2
Luke Glendening\glendlu01,78,23,2,15,102,1231,102,198
Nikolay Goldobin\goldoni01,63,27,-10,18,105,944,21,15
Alex Goligoski\goligal01,76,27,-7,16,102,1582,154,79
Cody Goloubef\golouco01,5,0,0,2,3,54,5,13
Barclay Goodrow\goodrba01,82,17,4,76,84,903,68,125
Shayne Gostisbehere\gostish01,78,37,-20,22,180,1533,102,46
Tyrell Goulbourne\goulbty01,2,0,0,0,3,15,0,6
Yanni Gourde\gourdya01,80,48,9,66,130,1267,30,83
Michael Grabner\grabnmi01,41,16,-2,8,65,590,15,28
Markus Granlund\granlma01,77,22,-4,20,123,1158,24,46
Mikael Granlund\granlmi01,79,54,-8,24,189,1449,40,46
Derek Grant\grantde01,56,14,-6,14,74,654,29,92
Kevin Gravel\graveke01,36,3,-2,4,44,530,53,31
Ryan Graves\gravery01,26,5,4,2,26,289,51,32
Anthony Greco\grecoan01,1,0,-3,0,2,10,0,0
Mike Green\greenmi03,43,26,-1,28,92,932,56,60
Andy Greene\greenan01,82,25,-9,16,104,1708,208,67
Jordan Greenway\greenjo02,81,24,-12,29,109,1104,40,57
A.J. Greer\greeraj01,15,2,-2,14,9,94,5,20
Rocco Grimaldi\grimaro01,53,13,-2,10,81,530,20,32
Carl Grundstrom\grundca01,15,6,-4,6,26,225,3,38
Eric Gryba\grybaer01,10,0,-1,10,11,153,16,21
Matt Grzelcyk\grzelma01,66,18,9,68,90,1263,60,46
